Segment	Contig	Start	End	DRJ1_end	DRJ2_start	HIM_start	HIM_end	Orientation
S1	contig_4	10779988	10800059	10799953	10780048	10780296	10780417	-1
S2	contig_276	13828	29878	14025	29824	NA	NA	-1
S4	scaffold_91	989293	998487	989406	998361	998131	998251	1
S5	contig_276	143626	151685	143725	151494	NA	NA	1
S6	contig_276	153972	162773	154098	162622	NA	NA	-1
S7	contig_36	355273	373607	373502	355427	355747	355880	-1
S10	scaffold_91	1058754	1076122	1058847	1076019	1075732	1075854	1
S11	contig_26	1347572	1359376	1359316	1347679	1347840	1347970	-1
S12	contig_26	1359742	1373010	1359848	1372887	1359880	1359997	1
S14	contig_26	1317007	1345253	NA	1317201	1317405	1317525	-1
S15	contig_36	30332	30658	NA	NA	NA	NA	1
S16	contig_36	124144	133421	124219	133311	132487	132609	1
S17	scaffold_91	1076379	1090049	1089925	1076438	1076603	1076725	-1
S18	contig_36	98856	123006	99056	122900	122749	122854	-1
S19	contig_69	70049	76798	70162	76595	NA	NA	1
S20/33	contig_276	29896	54070	29896	54006	NA	NA	1
S23	contig_276	163165	166344	163338	NA	NA	NA	-1
S24	contig_36	64670	85950	85868	NA	85710	85818	-1
S25	contig_69	1	69858	69751	NA	NA	NA	-1
S26	contig_4	11078861	11088063	11087876	11078937	11087734	11087858	-1
S27	contig_36	1	30242	75	30134	30006	30122	-1
S28	contig_323	4514	41675	41571	4622	41301	41439	-1
S30	contig_246	1	10520	88	NA	NA	NA	1
S32	contig_36	30722	63950	30825	63856	63655	63779	1
S35	contig_36	86101	98819	86208	98722	90702	90835	1
S36	contig_276	213	13813	317	13716	NA	NA	1
S37	contig_323	667	4356	NA	4253	NA	NA	1
